customer_id,client_customer_id,client_subentity,client_customer_city,client_customer_region,payment_terms,client_payment_instrument
7,60000075,60,Camberley,GB,100%-30-Days/NA-NA-NA,A
9,60000077,60,Manchester,GB,100%-90-Days/NA-NA-NA,A
255,60002624,60,,GB,100%-60-Days/NA-NA-NA,A
322,60001699,60,London,GB,100%-45-Days/NA-NA-NA,A
403,60003169,60,Avon,GB,100%-60-Days/NA-NA-NA,A
424,60003090,60,Kettering,GB,100%-60-Days/NA-NA-NA,A
488,60003204,60,Prenton,GB,100%-60-Days/NA-NA-NA,A
545,60003887,60,,PL,100%-60-Days/NA-NA-NA,A
572,60004010,60,Edinburgh,GB,100%-30-Days/NA-NA-NA,A
765,60004941,60,Glasgow,GB,100%-30-Days/NA-NA-NA,A
903,60005204,60,Swindon,GB,100%-60-Days/NA-NA-NA,A
991,60005455,60,Belfast,GB,100%-30-Days/NA-NA-NA,A
1033,60005903,60,,GB,100%-30-Days/NA-NA-NA,A
1170,60006285,60,Avon,GB,100%-45-Days/NA-NA-NA,A
1177,61000089,61,Unterschleissheim,DE,100%-30-Days/NA-NA-NA,A
1383,66000079,66,,DE,100%-45-Days/NA-NA-NA,A
1543,60006398,60,London,GB,100%-30-Days/NA-NA-NA,A
1545,76000464,76,Alphen aan den Rijn,NL,100%-30-Days/NA-NA-NA,A
1651,50001712,50,,LB,100%-30-Days/NA-NA-NA,A
1881,60006465,60,Newport  Gwent,GB,100%-30-Days/NA-NA-NA,A
2826,50002632,50,,GB,100%-30-Days/NA-NA-NA,A
3817,50003662,50,,US,100%-30-Days/NA-NA-NA,A
3981,50003240,50,,GB,100%-60-Days/NA-NA-NA,A
6568,60007454,60,,CH,100%-45-Days/NA-NA-NA,A
6574,50004048,50,Kuala Lumpur,MY,100%-30-Days/NA-NA-NA,A
6612,87000135,87,,CH,100%-45-Days/NA-NA-NA,A
6615,87000138,87,Anthoussa,GR,100%-45-Days/NA-NA-NA,A
6976,60007460,60,,CH,100%-45-Days/NA-NA-NA,A
7177,92001377,92,London,GB,100%-30-Days/NA-NA-NA,A
7381,92001425,92,Wallisellen-Zuerich,GB,100%-90-Days/NA-NA-NA,A
8608,50006297,50,BRATISLAVA,SK,100%-3-Months-30-Days/NA-NA-NA,H
